rho,root,equilibrium
0.45699999999999996,r3,6.889358584858613
0.45799999999999996,r1,0.5739100466115231
0.45799999999999996,r2,2.5247900689000837
0.45799999999999996,r3,6.901299884488394
0.45899999999999996,r1,0.5761335498025663
0.45899999999999996,r2,2.51074536989892
0.45899999999999996,r3,6.913121080298515
0.45999999999999996,r1,0.5783713204453956
0.45999999999999996,r2,2.4968041480191308
0.45999999999999996,r3,6.9248245315354735
0.46099999999999997,r1,0.5806236014397308
0.46099999999999997,r2,2.482963875827457
0.46099999999999997,r3,6.936412522732812
0.46199999999999997,r1,0.5828906421140764
0.46199999999999997,r2,2.469222090859938
0.46199999999999997,r3,6.947887267025985
0.46299999999999997,r1,0.5851726984624905
0.46299999999999997,r2,2.455576392258695
0.46299999999999997,r3,6.959250909278815
0.46399999999999997,r1,0.5874700333925817
0.46399999999999997,r2,2.442024437572942
0.46399999999999997,r3,6.970505529034476
0.46499999999999997,r1,0.589782916985388
0.46499999999999997,r2,2.428563939711621
0.46499999999999997,r3,6.9816531433029905
0.46599999999999997,r1,0.5921116267678359
0.46599999999999997,r2,2.41519266403597
0.46599999999999997,r3,6.9926957091961945
0.46699999999999997,r1,0.5944564479985344
0.46699999999999997,r2,2.4019084255811527
0.46699999999999997,r3,7.003635126420313
0.46799999999999997,r1,0.5968176739676987
0.46799999999999997,r2,2.388709086396816
0.46799999999999997,r3,7.014473239635486
0.469,r1,0.5991956063120715
0.469,r2,2.3755925529970736
0.469,r3,7.025211840690854
0.47,r1,0.6015905553457558
0.47,r2,2.362556773911055
0.47,r3,7.035852670743188
0.471,r1,0.6040028404079575
0.471,r2,2.3495997373256294
0.471,r3,7.046397422266414
0.472,r1,0.6064327902286939
0.472,r2,2.3367194688124506
0.472,r3,7.0568477409588555
0.473,r1,0.6088807433136139
0.473,r2,2.3239140291318208
0.473,r3,7.067205227554566
0.474,r1,0.6113470483491706
0.474,r2,2.3111815121062946
0.474,r3,7.077471439544534
0.475,r1,0.6138320646294176
0.475,r2,2.2985200425573136
0.475,r3,7.087647892813268
0.476,r1,0.6163361625059718
0.476,r2,2.2859277742982207
0.476,r3,7.097736063195809
0.477,r1,0.6188597238625373
0.477,r2,2.273402888177616
0.477,r3,7.1077373879598476
0.478,r1,0.6214031426157559
0.478,r2,2.260943590166867
0.478,r3,7.117653267217378
0.479,r1,0.623966825244137
0.479,r2,2.2485481094859665
0.479,r3,7.127485065269896
0.48,r1,0.6265511913470175
0.48,r2,2.2362146967619654
0.48,r3,7.137234111891017
0.481,r1,0.6291566742356498
0.481,r2,2.2239416222143635
0.481,r3,7.146901703549987
0.482,r1,0.6317837215586992
0.482,r2,2.2117271738618336
0.482,r3,7.156489104579467
0.483,r1,0.6344327959646162
0.483,r2,2.1995696557447446
0.483,r3,7.16599754829064
0.484,r1,0.6371043758035682
0.484,r2,2.187467386157906
0.484,r3,7.175428238038526
0.485,r1,0.6397989558718434
0.485,r2,2.175418695887894
0.485,r3,7.184782348240263
0.486,r1,0.6425170482019001
0.486,r2,2.163421926449291
0.486,r3,7.194061025348809
0.487,r1,0.6452591829015126
0.487,r2,2.1514754283139697
0.487,r3,7.2032653887845175
0.488,r1,0.6480259090457829
0.488,r2,2.139577559127471
0.488,r3,7.212396531826747
0.489,r1,0.6508177956261297
0.489,r2,2.1277266819062515
0.489,r3,7.221455522467619
0.49,r1,0.6536354325607477
0.49,r2,2.115921163209352
0.49,r3,7.2304434042299
0.491,r1,0.6564794317714605
0.491,r2,2.1041593712777376
0.491,r3,7.239361196950802
0.492,r1,0.6593504283323502
0.492,r2,2.0924396741341798
0.492,r3,7.248209897533469
0.493,r1,0.662249081696085
0.493,r2,2.080760437636156
0.493,r3,7.25699048066776
0.494,r1,0.6651760770044362
0.494,r2,2.0691200234737193
0.494,r3,7.265703899521845
0.495,r1,0.6681321264901328
0.495,r2,2.057516787103772
0.495,r3,7.274351086406096
0.496,r1,0.6711179709779318
0.496,r2,2.0459490756114964
0.496,r3,7.282932953410572
0.497,r1,0.6741343814935856
0.497,r2,2.034415225488993
0.497,r3,7.291450393017421
0.498,r1,0.6771821609903104
0.498,r2,2.022913560320304
0.498,r3,7.299904278689387
0.499,r1,0.6802621462033777
0.499,r2,2.0114423883610755
0.499,r3,7.308295465435546
0.5,r1,0.6833752096446001
0.5,r2,2
0.5,r3,7.316624790355399
0.501,r1,0.6865222617497884
0.501,r2,1.9885846650879688
0.501,r3,7.324893073162244
0.502,r1,0.6897042531937142
0.502,r2,1.9771946301194139
0.502,r3,7.333101116686872
0.503,r1,0.6929221773887759
0.503,r2,1.9658281152487578
0.503,r3,7.341249707362466
0.504,r1,0.6961770731854439
0.504,r2,1.9544833111230338
0.504,r3,7.349339615691523
0.505,r1,0.6994700277946986
0.505,r2,1.9431583755096444
0.505,r3,7.357371596695656
0.506,r1,0.7028021799551049
0.506,r2,1.9318514296958496
0.506,r3,7.365346390349045
0.507,r1,0.7061747233699452
0.507,r2,1.9205605546338436
0.507,r3,7.373264721996212
0.508,r1,0.7095889104430102
0.508,r2,1.9092837868021197
0.508,r3,7.38112730275487
0.509,r1,0.7130460563452848
0.509,r2,1.8980191137502394
0.509,r3,7.388934829904476
0.51,r1,0.7165475434489593
0.51,r2,1.8867644692899548
0.51,r3,7.3966879872610845
0.511,r1,0.7200948261700244
0.511,r2,1.875517728290833
0.511,r3,7.404387445539143
0.512,r1,0.7236894362662771
0.512,r2,1.8642767010330072
0.512,r3,7.412033862700715
0.513,r1,0.7273329886440563
0.513,r2,1.853039127063192
0.513,r3,7.419627884292752
0.514,r1,0.7310271877345204
0.514,r2,1.8418026684926574
0.514,r3,7.427170143772822
0.515,r1,0.7347738345090781
0.515,r2,1.8305649026670623
0.515,r3,7.43466126282386
0.516,r1,0.7385748342138193
0.516,r2,1.8193233141278577
0.516,r3,7.4421018516583235
0.517,r1,0.74243220491486694
0.517,r2,1.8080752857728954
0.517,r3,7.449492509312236
0.518,r1,0.7463480869607375
0.518,r2,1.7968180891097332
0.518,r3,7.45683382392953
0.519,r1,0.7503247534845979
0.519,r2,1.7855488734783893
0.519,r3,7.464126373037012
0.52,r1,0.7543646220892084
0.52,r2,1.7742646541003366
0.52,r3,7.471370723810455
0.521,r1,0.7584702678810767
0.521,r2,1.7629622987869014
0.521,r3,7.478567433332023
0.522,r1,0.762644438048743
0.522,r2,1.7516385131117682
0.522,r3,7.485717048839489
0.523,r1,0.7668900682142461
0.523,r2,1.740289823818244
0.523,r3,7.49282010796751
0.524,r1,0.7712103008280277
0.524,r2,1.7289125601907034
0.524,r3,7.49987713898127
0.525,r1,0.7756085059275322
0.525,r2,1.717502833069666
0.525,r3,7.506888661002802
0.526,r1,0.7800883046407273
0.526,r2,1.7060565111289974
0.526,r3,7.513855184230276
0.527,r1,0.784653595890548
0.527,r2,1.694569193958968
0.527,r3,7.520777210150484
0.528,r1,0.789308586848448
0.528,r2,1.6830361814067218
0.528,r3,7.527655231744831
0.529,r1,0.7940578277996198
0.529,r2,1.671452438511358
0.529,r3,7.534489733689022
0.53,r1,0.7989062522252599
0.53,r2,1.6598125552280059
0.53,r3,7.541281192546734
0.531,r1,0.8038592230867423
0.531,r2,1.6481106999558093
0.531,r3,7.548030076957449
0.532,r1,0.8089225865238655
0.532,r2,1.6363405656574508
0.532,r3,7.554736847818683
0.533,r1,0.8141027344693091
0.533,r2,1.6244953070678587
0.533,r3,7.561401958462832
0.534,r1,0.8194066780544934
0.534,r2,1.612567467116703
0.534,r3,7.568025854828804
0.535,r1,0.824842134166137
0.535,r2,1.6005488902052531
0.535,r3,7.5746089756286095
0.536,r1,0.8304176281470427
0.536,r2,1.5884306193437894
0.536,r3,7.581151752509169
0.537,r1,0.8361426164739091
0.537,r2,1.5762027733166943
0.537,r3,7.5876546102093965
0.538,r1,0.8420276343679565
0.538,r2,1.5638543989192106
0.538,r3,7.594117966712832
